Paper,Figure,Species,Time,Volume
Gause_book_1934,9,Saccharomyces cerevisiae,6.289843406,0.162881184
Gause_book_1934,9,Saccharomyces cerevisiae,12.44091772,1.252563587
Gause_book_1934,9,Saccharomyces cerevisiae,17.98018132,3.201081019
Gause_book_1934,9,Saccharomyces cerevisiae,23.83531712,5.227493148
Gause_book_1934,9,Saccharomyces cerevisiae,30.4763,7.253521937
Gause_book_1934,9,Saccharomyces cerevisiae,35.85456079,9.006995956
Gause_book_1934,9,Saccharomyces cerevisiae,41.82163188,8.730914458
Gause_book_1934,9,Saccharomyces cerevisiae,48.57991682,8.727617733
Gause_book_1934,9,Saccharomyces cerevisiae,73.5637207,8.40323539
