Paper,Figure,Species,Alcohol,Population
Gause_book_1934,12,Saccharomyces cerevisiae,-0.019369945,100.1814602
Gause_book_1934,12,Saccharomyces cerevisiae,0.989640982,89.09642401
Gause_book_1934,12,Saccharomyces cerevisiae,1.500567617,85.3102384
Gause_book_1934,12,Saccharomyces cerevisiae,2.009223783,86.20689655
Gause_book_1934,12,Saccharomyces cerevisiae,2.984603377,84.48648361
Gause_book_1934,12,Saccharomyces cerevisiae,2.999858096,83.02362708
