Paper,Figure,Species,Individuals,Treatment
Gause_1931_AmN,3,Moina macrocopa,224,20.0
Gause_1931_AmN,3,Moina macrocopa,432,25.0
Gause_1931_AmN,3,Moina macrocopa,274,35.0
